Index,Time,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,heading,roll,pitch,linacc_x,linacc_y,linacc_z,gravity_x,gravity_y,gravity_z,quat_w,quat_x,quat_y,quat_z
143,10.117,-0.885,1.110,9.550,-69.688,-54.875,-43.031,-0.093,0.063,-0.031,145.875,-4.875,-6.438,-0.075,0.650,-0.070,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
144,10.188,-0.910,1.100,9.605,-69.688,-55.062,-43.281,-0.093,-0.125,0.000,145.875,-4.875,-6.438,-0.065,0.005,-0.080,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
145,10.259,-0.930,1.085,9.615,-69.688,-54.656,-43.281,-0.157,-0.094,-0.031,145.875,-4.875,-6.438,-0.100,-0.005,-0.080,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
146,10.330,-0.940,1.095,9.630,-69.125,-54.656,-24.281,-0.219,0.125,-0.031,145.875,-4.875,-6.438,-0.090,-0.010,-0.105,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
147,10.402,-0.915,1.100,9.600,-68.906,-55.062,-23.688,-0.156,-0.125,0.062,145.875,-4.875,-6.438,-0.090,-0.005,-0.090,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
148,10.472,-0.910,1.100,9.600,-69.656,-54.656,-42.218,-0.093,-0.062,0.062,145.875,-8.875,-6.438,-0.075,0.000,-0.130,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
149,10.542,-0.915,1.105,9.605,-70.062,-54.469,-42.562,-0.032,0.032,-0.031,145.875,-8.875,-6.438,-0.080,0.005,-0.085,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
149,10.542,-0.915,1.105,9.605,-70.062,-54.469,-42.562,-0.032,0.032,-0.031,145.875,-8.875,-6.438,-0.080,0.005,-0.085,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
150,10.612,-0.925,1.100,9.590,-69.875,-54.688,-43.406,0.000,0.000,0.000,145.875,-4.875,-6.438,-0.135,0.010,0.035,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
151,10.683,-0.935,1.080,9.630,-69.688,-54.688,-43.062,-0.031,-0.094,0.031,145.875,-4.875,-6.438,-0.095,0.000,-0.115,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
152,10.753,-0.915,1.075,9.610,-69.688,-54.469,-42.062,-0.062,-0.062,0.031,145.875,-4.875,-6.438,-0.105,-0.005,-0.100,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
153,10.824,-0.925,1.100,9.610,-69.875,-54.469,-42.656,-0.093,-0.157,0.093,145.875,-4.875,-6.438,-0.080,0.005,-0.130,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
154,10.893,-0.930,1.110,9.615,-69.875,-54.875,-42.812,-0.125,-0.188,0.093,145.875,-4.875,-6.438,-0.075,0.010,-0.100,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
155,10.964,-0.935,1.115,9.615,-69.688,-54.875,-42.812,-0.063,-0.032,0.000,145.875,-4.875,-6.438,-0.080,0.005,-0.090,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
155,10.964,-0.935,1.115,9.615,-69.688,-54.875,-42.812,-0.063,-0.032,0.000,145.875,-4.875,-6.438,-0.080,0.005,-0.090,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
156,11.034,-0.930,1.115,9.605,-69.281,-54.469,-43.062,0.031,-0.093,-0.093,145.875,-4.875,-6.438,-0.090,0.005,-0.090,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
157,11.105,-0.930,1.095,9.620,-69.469,-54.250,-42.406,0.000,0.000,-0.093,145.875,-4.875,-6.438,-0.095,-0.005,-0.075,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
158,11.180,-0.940,1.105,9.675,-69.875,-54.656,-42.625,-0.031,0.000,0.000,145.875,-4.875,-6.438,-0.085,0.005,-0.085,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
159,11.248,-0.920,1.110,9.620,-69.688,-54.656,-43.031,0.000,0.063,0.031,145.875,-4.875,-6.438,-0.080,0.010,-0.085,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
160,11.319,-0.930,1.095,9.615,-69.688,-54.469,-43.031,0.031,0.000,0.000,145.875,-4.875,-6.438,-0.090,0.000,-0.090,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
161,11.390,-0.925,1.100,9.640,-69.875,-54.469,-43.281,0.000,0.187,0.000,145.875,-4.875,-6.438,-0.090,0.000,-0.065,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
161,11.390,-0.925,1.100,9.640,-69.875,-54.469,-43.281,0.000,0.187,0.000,145.875,-4.875,-6.438,-0.090,0.000,-0.065,-0.830,1.100,9.700,0.293,0.057,-0.041,-0.954
